commit,status,records,total,reach_old,reach_new,pct_new
0287844b,ok,450,1,0,0,0.0
02d257a7,ok,463,2,0,2,100.0
07bbb08e,ok,390,2,0,0,0.0
0f131733,ok,461,1,1,1,100.0
1a453f7c,ok,343,15,15,14,93.3
3ba4b1aa,ok,461,1,1,1,100.0
46b8d7c3,ok,358,1,0,0,0.0
47847878,ok,489,1,0,1,100.0
7efd028b,ok,361,1,1,1,100.0
85d2db68,ok,461,1,0,0,0.0
88a6de9d,ok,400,6,0,6,100.0
93882b2c,ok,314,35,25,25,71.4
a3ab1eb6,ok,350,2,0,0,0.0
be7221b0,ok,461,13,13,13,100.0
c5a1dbf5,ok,438,2,1,2,100.0
cabe34a7,ok,345,3,3,3,100.0
ddee33cf,ok,464,2,2,2,100.0
ecee2a8e,ok,396,1,1,1,100.0
f2d79731,ok,357,3,3,3,100.0
